source_id,target_id,edge_type_id,edge_weight
66,90,2,0.9
66,96,2,0.9
66,97,2,0.9
66,104,2,0.9
66,105,2,0.9
66,106,2,0.9
66,108,2,0.9
66,111,2,0.9
66,116,2,0.9
66,117,2,0.9
66,122,2,0.9
66,124,2,0.9
66,125,2,0.9
70,78,2,0.9
70,84,2,0.9
70,86,2,0.9
70,96,2,0.9
70,97,2,0.9
70,104,2,0.9
70,105,2,0.9
70,108,2,0.9
70,111,2,0.9
70,116,2,0.9
70,117,2,0.9
70,122,2,0.9
70,124,2,0.9
70,125,2,0.9
78,84,2,0.9
78,86,2,0.9
78,104,2,0.9
78,116,2,0.9
78,117,2,0.9
78,125,2,0.9
81,84,2,0.9
81,97,2,0.9
81,104,2,0.9
81,106,2,0.9
81,116,2,0.9
84,86,2,0.9
84,97,2,0.9
84,104,2,0.9
84,105,2,0.9
84,106,2,0.9
84,116,2,0.9
86,97,2,0.9
86,104,2,0.9
86,116,2,0.9
86,125,2,0.9
90,97,2,0.9
90,104,2,0.9
90,116,2,0.9
96,104,2,0.9
96,111,2,0.9
96,116,2,0.9
97,104,2,0.9
97,106,2,0.9
97,108,2,0.9
97,116,2,0.9
97,122,2,0.9
97,125,2,0.9
104,106,2,0.9
104,108,2,0.9
104,111,2,0.9
104,116,2,0.9
104,117,2,0.9
104,122,2,0.9
104,125,2,0.9
106,116,2,0.9
108,116,2,0.9
108,122,2,0.9
108,125,2,0.9
116,117,2,0.9
116,122,2,0.9
116,124,2,0.9
116,125,2,0.9
122,125,2,0.9
124,125,2,0.9
3,56,6,0.9
13,19,6,0.9
13,20,6,0.9
13,44,6,0.9
13,58,6,0.9
13,63,6,0.9
13,66,6,0.9
13,70,6,0.9
13,104,6,0.9
13,124,6,0.9
17,19,6,0.9
17,20,6,0.7
17,58,6,0.9
17,62,6,0.7
17,65,6,0.7
17,66,6,0.9
17,70,6,0.9
17,84,6,0.9
17,97,6,0.7
17,104,6,0.9
17,116,6,0.9
19,20,6,0.9
19,44,6,0.9
19,58,6,0.9
19,62,6,0.9
19,63,6,0.9
19,65,6,0.7
19,66,6,0.9
19,70,6,0.9
19,84,6,0.9
19,97,6,0.7
19,104,6,0.9
19,116,6,0.9
19,124,6,0.9
20,44,6,0.9
20,58,6,0.9
20,62,6,0.7
20,63,6,0.9
20,66,6,0.9
20,70,6,0.9
20,84,6,0.7
20,97,6,0.7
20,104,6,0.9
20,116,6,0.9
20,124,6,0.9
44,58,6,0.9
44,63,6,0.9
44,66,6,0.9
44,70,6,0.9
44,104,6,0.9
44,124,6,0.9
58,62,6,0.9
58,63,6,0.9
58,65,6,0.7
58,66,6,0.9
58,70,6,0.9
58,84,6,0.9
58,95,6,0.5
58,96,6,0.9
58,97,6,0.7
58,102,6,0.7
58,104,6,0.9
58,116,6,0.9
58,117,6,0.7
58,124,6,0.9
62,65,6,0.7
62,66,6,0.7
62,70,6,0.9
62,84,6,0.7
62,97,6,0.7
62,104,6,0.7
62,116,6,0.7
62,124,6,0.7
63,66,6,0.9
63,70,6,0.9
63,104,6,0.9
63,124,6,0.9
65,66,6,0.7
65,70,6,0.7
65,84,6,0.7
65,97,6,0.7
65,104,6,0.7
65,116,6,0.7
66,70,6,0.9
66,84,6,0.9
66,97,6,0.7
66,104,6,0.9
66,116,6,0.9
66,124,6,0.9
70,84,6,0.9
70,97,6,0.7
70,104,6,0.9
70,116,6,0.9
70,124,6,0.9
84,97,6,0.7
84,104,6,0.7
84,116,6,0.9
97,104,6,0.7
97,116,6,0.7
104,116,6,0.9
104,124,6,0.9
2,32,11,0.9
2,94,11,0.9
3,10,11,0.9
3,13,11,0.9
3,20,11,0.9
3,32,11,0.9
3,35,11,0.9
3,36,11,0.9
3,44,11,0.9
3,56,11,0.9
3,74,11,0.9
3,97,11,0.9
3,105,11,0.9
3,124,11,0.9
5,20,11,0.9
5,56,11,0.7
5,124,11,0.7
10,13,11,0.9
10,20,11,0.9
10,32,11,0.9
10,35,11,0.9
10,36,11,0.9
10,44,11,0.9
10,56,11,0.9
10,74,11,0.9
10,97,11,0.9
10,105,11,0.9
10,116,11,0.9
10,124,11,0.9
11,58,11,0.7
13,20,11,0.9
13,32,11,0.9
13,35,11,0.9
13,36,11,0.9
13,44,11,0.9
13,56,11,0.9
13,70,11,0.9
13,74,11,0.9
13,97,11,0.9
13,105,11,0.9
13,124,11,0.9
16,58,11,0.9
16,88,11,0.9
19,20,11,0.9
19,70,11,0.9
20,32,11,0.9
20,35,11,0.9
20,36,11,0.9
20,44,11,0.9
20,56,11,0.9
20,65,11,0.9
20,70,11,0.9
20,74,11,0.9
20,78,11,0.9
20,86,11,0.9
20,95,11,0.9
20,97,11,0.9
20,102,11,0.9
20,105,11,0.9
20,107,11,0.7
20,124,11,0.9
32,35,11,0.9
32,36,11,0.9
32,44,11,0.9
32,56,11,0.9
32,74,11,0.9
32,97,11,0.9
32,105,11,0.9
32,124,11,0.9
35,36,11,0.9
35,44,11,0.9
35,56,11,0.9
35,74,11,0.9
35,97,11,0.9
35,105,11,0.9
35,124,11,0.9
36,44,11,0.9
36,56,11,0.9
36,63,11,0.9
36,74,11,0.9
36,97,11,0.9
36,105,11,0.9
36,124,11,0.9
41,125,11,0.9
44,56,11,0.9
44,74,11,0.9
44,97,11,0.9
44,105,11,0.9
44,111,11,0.7
44,124,11,0.9
47,78,11,0.9
56,74,11,0.9
56,95,11,0.7
56,97,11,0.9
56,105,11,0.9
56,107,11,0.9
56,116,11,0.9
56,124,11,0.9
58,88,11,0.9
63,124,11,0.7
65,86,11,0.9
70,74,11,0.9
70,78,11,0.9
70,94,11,0.9
70,124,11,0.9
73,78,11,0.9
74,78,11,0.9
74,87,11,0.9
74,97,11,0.9
74,105,11,0.9
74,124,11,0.9
78,87,11,0.9
78,89,11,0.9
84,94,11,0.7
84,122,11,0.9
95,124,11,0.7
97,105,11,0.9
97,124,11,0.9
105,124,11,0.9
107,124,11,0.9
116,124,11,0.9
2,70,12,0.9
2,74,12,0.9
2,78,12,0.9
2,96,12,0.9
2,117,12,0.9
15,55,12,0.9
15,74,12,0.9
15,78,12,0.9
15,87,12,0.9
